doc_id,url,note,verification_url
DOC007,https://www.doi.gov/sites/default/files/documents/2026-02/invasive-species-accomplishments-report2021-2025.pdf,Direct PDF linked from the original DOI landing page,https://www.doi.gov/media/document/invasive-species-accomplishments-report-2021-2025
DOC020,https://mdc.mo.gov/sites/default/files/2022-06/FY23IEPbook.pdf,Representative MDC public program and resource planning document,https://mdc.mo.gov/
DOC024,https://www.usgs.gov/centers/wetland-and-aquatic-research-center,Updated official USGS center URL,https://www.usgs.gov/centers/wetland-and-aquatic-research-center
DOC027,https://web.archive.org/web/20240115041420id_/https://www.ramsar.org/sites/default/files/documents/library/manual6-2013-e.pdf,Archived byte-for-byte copy used because the official public PDF is protected by a Cloudflare challenge,https://www.ramsar.org/document/ramsar-convention-manual-6th-edition
DOC031,https://s3.documentcloud.org/documents/24223250/epa-2000-report-on-americas-water-resources.pdf,Representative public DocumentCloud record: EPA report on Americas water resources,https://www.documentcloud.org/documents/24223250-epa-2000-report-on-americas-water-resources/
DOC032,https://s3.documentcloud.org/documents/5990576/Summary-for-Policymakers-IPBES-Global-Assessment.pdf,Representative public DocumentCloud environmental record: IPBES global assessment summary,https://www.documentcloud.org/documents/5990576-Summary-for-Policymakers-IPBES-Global-Assessment/
DOC033,https://s3.documentcloud.org/documents/4911870/Cleveland-Climate-Action-Plan-2018.pdf,Representative public DocumentCloud record containing water-quality conservation material,https://www.documentcloud.org/documents/4911870-Cleveland-Climate-Action-Plan-2018/
DOC034,https://s3.documentcloud.org/documents/6563087/Canada-s-Green-Plan-1990.pdf,Representative public DocumentCloud conservation record: Canadas Green Plan,https://www.documentcloud.org/documents/6563087-Canada-s-Green-Plan-1990/
DOC035,https://s3.documentcloud.org/documents/3105657/Wetland-Protection.pdf,Representative public DocumentCloud wetland record: Wetland Protection,https://www.documentcloud.org/documents/3105657-Wetland-Protection/
